Distance,PDR
10,	1.000
20,	1.000
30,	0.994
40,	0.994
50,	0.994
60,	0.994
70,	0.994
80,	0.990
90,	0.984
100,	0.966
110,	0.945
120,	0.918
130,	0.869
140,	0.822
150,	0.770
160,	0.751
170,	0.736
180,	0.712
190,	0.689
200,	0.674
210,	0.664
220,	0.660
230,	0.640
240,	0.628
250,	0.615
260,	0.610
270,	0.603
280,	0.601
290,	0.593
300,	0.561
310,	0.561
320,	0.561
330,	0.561
340,	0.559
350,	0.561
360,	0.539
370,	0.533
380,	0.529
390,	0.527
400,	0.527
410,	0.527
420,	0.527
430,	0.527
440,	0.527
450,	0.524
460,	0.520
470,	0.516
480,	0.502
490,	0.486
500,	0.456
510,	0.421
520,	0.355
530,	0.269
540,	0.183
550,	0.091
560,	0.033
570,	0.003
580,	0.000
590,	0.000
600,	0.000
