FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
0,79,447562679.000000000000000, , ,-0.343187300000000,39.464092299999997,-0.343199000000000,39.464094400000000
1,79,447562679.000000000000000, , ,-0.343199000000000,39.464094400000000,-0.343183400000000,39.464106500000000
2,79,447562679.000000000000000, , ,-0.343183400000000,39.464106500000000,-0.343187300000000,39.464092299999997
3,156,689533264.000000000000000, ,apartments,-0.342239100000000,39.464323299999997,-0.342736400000000,39.464117199999997
4,154,689533258.000000000000000, , ,-0.342681000000000,39.464325299999999,-0.342736400000000,39.464117199999997
5,155,689533261.000000000000000, , ,-0.342681000000000,39.464325299999999,-0.342736400000000,39.464117199999997
6,156,689533264.000000000000000, ,apartments,-0.342681000000000,39.464325299999999,-0.342736400000000,39.464117199999997
7,13,297886143.000000000000000, ,school,-0.344502400000000,39.464217499999997,-0.344481400000000,39.464259699999999
8,13,297886143.000000000000000, ,school,-0.344481400000000,39.464259699999999,-0.344204000000000,39.464177900000003
9,13,297886143.000000000000000, ,school,-0.344204000000000,39.464177900000003,-0.344461400000000,39.464134799999997
10,13,297886143.000000000000000, ,school,-0.344461400000000,39.464134799999997,-0.344480800000000,39.464093400000003
11,13,297886143.000000000000000, ,school,-0.344480800000000,39.464093400000003,-0.344657800000000,39.464191999999997
12,13,297886143.000000000000000, ,school,-0.344657800000000,39.464191999999997,-0.344903100000000,39.464265500000003
13,13,297886143.000000000000000, ,school,-0.344903100000000,39.464265500000003,-0.344919200000000,39.464233999999998
14,13,297886143.000000000000000, ,school,-0.344919200000000,39.464233999999998,-0.344975500000000,39.464250499999999
15,13,297886143.000000000000000, ,school,-0.344975500000000,39.464250499999999,-0.344932900000000,39.464334100000002
16,13,297886143.000000000000000, ,school,-0.344932900000000,39.464334100000002,-0.344898000000000,39.464323100000001
17,13,297886143.000000000000000, ,school,-0.344898000000000,39.464323100000001,-0.344891900000000,39.464333900000000
18,13,297886143.000000000000000, ,school,-0.344891900000000,39.464333900000000,-0.344502400000000,39.464217499999997
19,75,447560127.000000000000000, , ,-0.345075100000000,39.464300700000003,-0.345211100000000,39.464342400000000
20,154,689533258.000000000000000, , ,-0.342736400000000,39.464117199999997,-0.343161200000000,39.464184799999998
21,154,689533258.000000000000000, , ,-0.343161200000000,39.464184799999998,-0.343159500000000,39.464190700000003
22,154,689533258.000000000000000, , ,-0.343159500000000,39.464190700000003,-0.343101500000000,39.464378600000003
23,155,689533261.000000000000000, , ,-0.342736400000000,39.464117199999997,-0.343161200000000,39.464184799999998
24,155,689533261.000000000000000, , ,-0.343161200000000,39.464184799999998,-0.343159500000000,39.464190700000003
25,155,689533261.000000000000000, , ,-0.343159500000000,39.464190700000003,-0.343101500000000,39.464378600000003
26,73,447560125.000000000000000, , ,-0.345211100000000,39.464342400000000,-0.345347500000000,39.464381600000003
27,156,689533264.000000000000000, ,apartments,-0.342681000000000,39.464325299999999,-0.342473100000000,39.464294199999998
28,156,689533264.000000000000000, ,apartments,-0.342473100000000,39.464294199999998,-0.342456400000000,39.464387400000000
29,156,689533264.000000000000000, ,apartments,-0.342456400000000,39.464387400000000,-0.342239100000000,39.464323299999997
30,78,447560130.000000000000000, , ,-0.345347500000000,39.464381600000003,-0.345449700000000,39.464172900000001
31,78,447560130.000000000000000, , ,-0.345449700000000,39.464172900000001,-0.345467300000000,39.464136799999999
32,78,447560130.000000000000000, , ,-0.345467300000000,39.464136799999999,-0.345532601271000,39.464156795800001
33,78,447560130.000000000000000, , ,-0.345532601271000,39.464156795800001,-0.345429300000000,39.464372599999997
34,78,447560130.000000000000000, , ,-0.345429300000000,39.464372599999997,-0.345479900000000,39.464387500000001
35,154,689533258.000000000000000, , ,-0.343101500000000,39.464378600000003,-0.343098200000000,39.464391399999997
36,154,689533258.000000000000000, , ,-0.343098200000000,39.464391399999997,-0.342681000000000,39.464325299999999
37,155,689533261.000000000000000, , ,-0.343098200000000,39.464391399999997,-0.342681000000000,39.464325299999999
38,73,447560125.000000000000000, , ,-0.345154500000000,39.464458600000000,-0.345211100000000,39.464342400000000
39,75,447560127.000000000000000, , ,-0.345154500000000,39.464458600000000,-0.345211100000000,39.464342400000000
40,75,447560127.000000000000000, , ,-0.345154500000000,39.464458600000000,-0.345017200000000,39.464418100000003
41,75,447560127.000000000000000, , ,-0.345017200000000,39.464418100000003,-0.345075100000000,39.464300700000003
42,155,689533261.000000000000000, , ,-0.343073900000000,39.464470499999997,-0.343098200000000,39.464391399999997
43,73,447560125.000000000000000, , ,-0.345347500000000,39.464381600000003,-0.345290100000000,39.464498700000000
44,78,447560130.000000000000000, , ,-0.345347500000000,39.464381600000003,-0.345290100000000,39.464498700000000
45,73,447560125.000000000000000, , ,-0.345290100000000,39.464498700000000,-0.345154500000000,39.464458600000000
46,74,447560126.000000000000000, , ,-0.345414400000000,39.464535499999997,-0.345479900000000,39.464387500000001
47,78,447560130.000000000000000, , ,-0.345414400000000,39.464535499999997,-0.345479900000000,39.464387500000001
48,78,447560130.000000000000000, , ,-0.345414400000000,39.464535499999997,-0.345290100000000,39.464498700000000
49,155,689533261.000000000000000, , ,-0.343101500000000,39.464378600000003,-0.343401400000000,39.464468199999999
50,155,689533261.000000000000000, , ,-0.343401400000000,39.464468199999999,-0.343358900000000,39.464554000000000
51,82,449459569.000000000000000, , ,-0.343073900000000,39.464470499999997,-0.343205100000000,39.464508899999998
52,82,449459569.000000000000000, , ,-0.343205100000000,39.464508899999998,-0.343221300000000,39.464513699999998
53,82,449459569.000000000000000, , ,-0.343221300000000,39.464513699999998,-0.343358900000000,39.464554000000000
54,82,449459569.000000000000000, , ,-0.343047100000000,39.464560100000000,-0.343073900000000,39.464470499999997
55,155,689533261.000000000000000, , ,-0.343047100000000,39.464560100000000,-0.343073900000000,39.464470499999997
56,74,447560126.000000000000000, , ,-0.345479900000000,39.464387500000001,-0.345593100000000,39.464420699999998
