Distace, PDR
10,	1
20,	1
30,	0.9239516702
40,	0.8763326226
50,	0.7754086709
60,	0.6652452026
70,	0.6105188344
80,	0.5636105188
90,	0.552949538
100,	0.5273631841
110,	0.5230987918
120,	0.5017768301
130,	0.4946695096
140,	0.4847192608
150,	0.4804548685
160,	0.4783226724
170,	0.473347548
180,	0.4676616915
190,	0.4641080313
200,	0.4491826581
210,	0.447761194
220,	0.4356787491
230,	0.4307036247
240,	0.4271499645
250,	0.4243070362
260,	0.4015636105
270,	0.3994314144
280,	0.3980099502
285,	0.3958777541
290,	0.3873489694
295,	0.3802416489
300,	0.3745557925
305,	0.3695806681
310,	0.3567874911
315,	0.3447050462
320,	0.3205401564
325,	0.2928216063
330,	0.2558635394
335,	0.1947405828
340,	0.1535181237
345,	0.09452736318
350,	0.04548685146
355,	0.01918976546
360,	0.005685856432
365,	0.000710732054
370,	0
