Distance,PDR
10,	1.000
20,	1.000
30,	0.994
40,	0.972
50,	0.944
60,	0.935
70,	0.903
80,	0.871
90,	0.855
100,	0.854
110,	0.834
120,	0.821
130,	0.810
140,	0.796
150,	0.792
160,	0.789
170,	0.760
180,	0.721
190,	0.716
200,	0.714
210,	0.708
220,	0.707
230,	0.706
240,	0.694
250,	0.662
260,	0.650
270,	0.637
280,	0.625
290,	0.624
300,	0.624
310,	0.612
320,	0.604
330,	0.604
340,	0.604
350,	0.604
360,	0.603
370,	0.603
380,	0.601
390,	0.601
400,	0.601
410,	0.601
420,	0.600
430,	0.599
440,	0.599
450,	0.597
460,	0.590
470,	0.586
480,	0.577
490,	0.567
500,	0.525
510,	0.488
520,	0.413
530,	0.316
540,	0.200
550,	0.112
560,	0.044
570,	0.009
580,	0.001
590,	0.001
600,	0.000
